num_course,dat_course,cod_taxi,cod_client,typ_client,typ_chauffeur,offre_commerciale,note_eval,commentaire,sentiment_global,categorie,sentiment_categorie,verbatim_cle
297857594,2024-04-30,8812,695331,51-GRAND-PUBLIC PAYANT,Service plus,Particulier payant,1.00,Quand je suis sortie du g7 il avait 24€ marqué sur le compteur et j'ai reçu un charge sur ma carte de 28€. |Je ne sais pas pourquoi il faut charger 4€ de plus. Si j'ai commandé-via l'app. |Je vous remercie par avant de me donner un retour et comprendre s'il faut confirmer avec le chauffeur le montant avant de sortir du taxi. |Bien cordialement,-0.5,PRIX_FACTURATION,-0.8,24€ marqué sur le compteur et j'ai reçu un charge sur ma carte de 28€. Je ne sais pas pourquoi il faut charger 4€ de plus. Si j'ai commandé-via l'app.
297857594,2024-04-30,8812,695331,51-GRAND-PUBLIC PAYANT,Service plus,Particulier payant,1.00,Quand je suis sortie du g7 il avait 24€ marqué sur le compteur et j'ai reçu un charge sur ma carte de 28€. |Je ne sais pas pourquoi il faut charger 4€ de plus. Si j'ai commandé-via l'app. |Je vous remercie par avant de me donner un retour et comprendre s'il faut confirmer avec le chauffeur le montant avant de sortir du taxi. |Bien cordialement,-0.5,APPLICATION,-0.2,24€ marqué sur le compteur et j'ai reçu un charge sur ma carte de 28€. Je ne sais pas pourquoi il faut charger 4€ de plus. Si j'ai commandé-via l'app.
297838129,2024-04-30,8711,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Lovely driver!,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Lovely driver!
297868366,2024-04-30,12544,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,"Chauffeur avenant, sécurisant et normand !",1.0,CHAUFFEUR_COMPORTEMENT,1.0,"Chauffeur avenant, sécurisant et normand !"
297865414,2024-04-30,12666,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Conducteur exemplaire: courtois, prudent, organisé. Merci pour cette course parfaite malgré les nombreuses difficultés de circulation.",1.0,CHAUFFEUR_COMPORTEMENT,1.0,"Conducteur exemplaire: courtois, prudent, organisé. Merci pour cette course parfaite malgré les nombreuses difficultés de circulation."
297865414,2024-04-30,12666,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Conducteur exemplaire: courtois, prudent, organisé. Merci pour cette course parfaite malgré les nombreuses difficultés de circulation.",1.0,CHAUFFEUR_CONDUITE,1.0,"Conducteur exemplaire: courtois, prudent, organisé. Merci pour cette course parfaite malgré les nombreuses difficultés de circulation."
297770581,2024-04-28,6399,695331,59-GRAND PUBLIC,Service,Grand Public,3.00,Très gentil mais conduit très très sèchement,0.2,CHAUFFEUR_COMPORTEMENT,0.8,Très gentil mais conduit très très sèchement
297770581,2024-04-28,6399,695331,59-GRAND PUBLIC,Service,Grand Public,3.00,Très gentil mais conduit très très sèchement,0.2,CHAUFFEUR_CONDUITE,-0.4,Très gentil mais conduit très très sèchement
297841244,2024-04-30,8793,607658,56-GRAND PUBLIC,Service plus,Grand Public,3.00,Il faudrait faire attention à l'odeur dans la voiture cela ne sentait pas très bon,-0.4,VEHICULE_PROPRETE,-0.4,Il faudrait faire attention à l'odeur dans la voiture cela ne sentait pas très bon
297868863,2024-05-01,7366,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,Désagréable,-1.0,CHAUFFEUR_COMPORTEMENT,-1.0,Désagréable
297864673,2024-04-30,10233,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Excellent professionnel,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Excellent professionnel
297869741,2024-05-01,13444,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Wonderful driver. She was friendly and helpful.,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Wonderful driver. She was friendly and helpful.
